ID Wavy;Data;Hora;X;Y;Z
WAVY123;23/04/2025;19:51:11;188,37;-241,72;-8,47
WAVY_JSON;23/04/2025;19:51:14;16.96;-65.42;-202.97
WAVY123;23/04/2025;19:51:16;217,47;228,74;-113,40
WAVY_JSON;23/04/2025;19:51:19;-42.88;236.07;176.6
WAVY123;23/04/2025;19:51:21;-179,71;-91,88;18,77
WAVY_JSON;23/04/2025;19:51:24;166.09;163.72;-182.59
WAVY123;23/04/2025;19:51:26;-246,65;168,46;117,29
WAVY_JSON;23/04/2025;19:51:29;165.63;106.81;206.33
WAVY123;23/04/2025;19:51:31;-234,04;59,28;74,77
WAVY_JSON;23/04/2025;19:51:34;-104.14;65.31;65.35
WAVY123;23/04/2025;19:51:36;-232,76;90,53;213,35
WAVY_JSON;23/04/2025;19:51:39;204.6;-38.03;85.82
WAVY_JSON;23/04/2025;19:51:44;209.58;2.96;-79.59
WAVY_JSON;23/04/2025;19:51:49;39.78;177.9;-86.6
WAVY_JSON;23/04/2025;19:51:54;76.57;-49.1;-227.71
